genres,title,tags,id,developer,Añio,price
"['Action', 'Indie', 'Massively Multiplayer']",Park Bound,"['Action', 'Massively Multiplayer', 'Indie', '3D Platformer', 'Third Person', 'Character Customization', 'Level Editor', 'Online Co-Op', 'Controller', 'Singleplayer', 'Platformer']",611830,Bambastic Games,2017,14.99
"['Action', 'Indie']",Undead Blackout,"['Action', 'Indie', 'Gore', 'Violent']",402910,Borderline Inappropriate Game Studios Ltd,2017,4.99
"['Action', 'Indie', 'Strategy']",Awesomenauts - Genji the Grey Skin,"['Strategy', 'Action', 'Indie']",230884,Ronimo Games,2013,2.49
"['Action', 'Adventure', 'Indie', 'RPG']",Final Bravely,"['RPG', 'Adventure', 'Action', 'Indie', 'RPGMaker', 'Fantasy', '2D', 'Action-Adventure', 'Singleplayer']",576800,Windam,2017,3.99
"['Casual', 'Indie', 'RPG', 'Strategy']",FreeCell Quest,"['RPG', 'Casual', 'Indie', 'Strategy', 'Card Game']",364640,Legend Studio,2015,9.99
"['Action', 'RPG']",Magicka: Grimnir's Laboratory,"['RPG', 'Action']",73120,Arrowhead Game Studios,2012,0.99
"['Action', 'Adventure', 'Indie']",Wings of Vi,"['Difficult', 'Platformer', 'Female Protagonist', 'Indie', 'Action', '2D', 'Adventure', 'Great Soundtrack', 'Anime', 'Cute', 'Pixel Graphics', 'Metroidvania', 'Fantasy', 'Singleplayer', 'Retro', 'Bullet Hell']",318530,Grynsoft,2014,14.99
"['Indie', 'Massively Multiplayer', 'RPG']",Boundel: The Second Era,"['Massively Multiplayer', 'Indie', 'RPG', 'Open World']",454070,Eren Aydın,2016,0.0
"['Indie', 'Simulation', 'Strategy']",8-Bit Invaders! - Soundtrack,"['Strategy', 'Indie', 'Simulation']",550710,Petroglyph,2016,3.99
"['Adventure', 'Free to Play', 'Indie', 'RPG', 'Strategy', 'Early Access']",Tactical Monsters Rumble Arena,"['Early Access', 'Strategy', 'Free to Play', 'Indie', 'Adventure', 'RPG', 'Tactical', 'Card Game', 'PvP', 'Tactical RPG', 'Turn-Based', 'Turn-Based Tactics', 'Turn-Based Strategy']",705220,Camex Games,2017,0.0
"['Indie', 'Casual']",Quantz,"['Indie', 'Casual', 'Puzzle']",37800,Gamerizon,2009,9.99
['Simulation'],The Count of Monster Disco,"['Simulation', 'Trains', 'Driving', 'Casual', 'Singleplayer', 'Family Friendly', 'Atmospheric', 'Sandbox', 'Open World', 'Relaxing', 'TrackIR', 'Level Editor', 'Realistic', 'Moddable', 'Building', 'Sports', 'Horror', 'City Builder']",277751,"Skyhook Games,Dovetail Games",2014,9.99
"['Action', 'RPG', 'Simulation']",State of Decay - Breakdown,"['Zombies', 'Action', 'Simulation', 'RPG', 'Survival', 'Open World', 'Multiplayer', 'Third Person', 'Survival Horror', 'Singleplayer']",259040,Undead Labs,2013,6.99
"['Action', 'Free to Play', 'Massively Multiplayer', 'RPG']",Defiance - Gold Edition,"['RPG', 'Massively Multiplayer', 'Action', 'Violent', 'Free to Play']",542450,Trion Worlds,2016,39.99
"['Action', 'Free to Play', 'Massively Multiplayer', 'Simulation', 'Strategy']",MechWarrior Online™ - Assault ‘Mech Performance Steam Pack,"['Massively Multiplayer', 'Simulation', 'Strategy', 'Action', 'Free to Play']",412243,Piranha Games Inc.,2015,59.99
['RPG'],The Legend of Heroes: Trails of Cold Steel - Shining Pom Bait Pack 5,['RPG'],605354,Nihon Falcom,2017,1.99
"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports', 'Strategy']",Pixel Puzzles Ultimate - Puzzle Pack: Volcanoes,"['Strategy', 'Action', 'Adventure', 'Free to Play', 'Indie', 'Casual', 'Simulation', 'Sports']",591491,DL Softworks,2017,2.99
"['Adventure', 'Indie']",Dream,"['Indie', 'Adventure', 'Exploration', 'Walking Simulator', 'Atmospheric', 'VR', 'First-Person', 'Casual', 'Puzzle', 'Horror', 'Great Soundtrack', 'Story Rich', 'Singleplayer', 'Surreal', 'Fantasy', 'Simulation', 'Open World']",229580,HyperSloth,2015,8.99
['Adventure'],The Book of Unwritten Tales,"['Adventure', 'Point & Click', 'Fantasy', 'Comedy', 'Singleplayer', 'Puzzle', 'Story Rich', 'Funny', 'Great Soundtrack']",215160,KING Art,2012,19.99
['Action'],DARIUSBURST Chronicle Saviours - Progear,['Action'],572382,"Pyramid,Chara-Ani,G.rev Ltd.",2017,4.99
['Action'],Tom Clancy's Ghost Recon Future Soldier - Season Pass,['Action'],2028055,"Ubisoft Paris,Red Storm Entertainment",2012,24.99
"['Casual', 'Indie']",Liquid Pinball,"['Indie', 'Casual', 'Relaxing', 'Puzzle', 'Singleplayer', 'Family Friendly']",562050,RunServer,2016,0.99
"['Action', 'Indie']",Plain Sight,"['Action', 'Indie', 'Multiplayer', 'Robots']",49900,Beatnik Games,2010,4.99
"['Action', 'Indie', 'Strategy', 'Early Access']",Soul Harvest,"['Early Access', 'Indie', 'Strategy', 'Action', 'Local Co-Op', 'Local Multiplayer', 'Pixel Graphics', 'RTS', 'Arcade', 'Retro', '4 Player Local']",425260,Nanoleptic Games,2017,12.99
