genres,title,tags,id,developer,Añio,price
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,"['Strategy', 'Action', 'Indie', 'Casual', 'Simulation']",761140,Kotoshiro,2018,4.99
"['Free to Play', 'Indie', 'RPG', 'Strategy']",Ironbound,"['Free to Play', 'Strategy', 'Indie', 'RPG', 'Card Game', 'Trading Card Game', 'Turn-Based', 'Fantasy', 'Tactical', 'Dark Fantasy', 'Board Game', 'PvP', '2D', 'Competitive', 'Replay Value', 'Character Customization', 'Female Protagonist', 'Difficult', 'Design & Illustration']",643980,Secret Level SRL,2018,0.0
"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,"['Free to Play', 'Simulation', 'Sports', 'Casual', 'Indie', 'Multiplayer']",670290,Poolians.com,2017,0.0
"['Action', 'Adventure', 'Casual']",弹炸人2222,"['Action', 'Adventure', 'Casual']",767400,彼岸领域,2017,0.99
"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,"['Action', 'Adventure', 'Simulation', 'FPS', 'Shooter', 'Third-Person Shooter', 'Sniper', 'Third Person']",772540,Trickjump Games Ltd,2018,3.99
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774277,Poppermost Productions,2018,18.99
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774278,Poppermost Productions,2018,29.99
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,"['Action', 'Adventure', 'RPG', 'Indie', 'Casual']",770380,Stegalosaurus Game Development,2018,10.99
"['Casual', 'Indie']",Beach Rules,"['Casual', 'Indie', 'Pixel Graphics', 'Cute', '2D']",768880,Copperpick Studio,2018,3.99
"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,"['Indie', 'Casual', 'Simulation']",765320,Ghulam Jewel,2018,2.99
